Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,FailureType,FailureTypeLabel,RUL
M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,NoFailure,1,100
L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,NoFailure,1,97
L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,NoFailure,1,95
L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,NoFailure,1,93
L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,NoFailure,1,91
M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,NoFailure,1,89
L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,NoFailure,1,86
L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,NoFailure,1,84
M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,NoFailure,1,82
M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,NoFailure,1,79
H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,NoFailure,1,76
H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,NoFailure,1,71
M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,NoFailure,1,66
M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,NoFailure,1,63
L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,NoFailure,1,60
L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,NoFailure,1,58
M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,NoFailure,1,56
M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,NoFailure,1,53
H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,NoFailure,1,50
M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,NoFailure,1,45
H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,NoFailure,1,42
L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,NoFailure,1,37
M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,NoFailure,1,35
L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,NoFailure,1,32
M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,NoFailure,1,30
L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,NoFailure,1,27
L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,NoFailure,1,25
H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,NoFailure,1,23
L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,NoFailure,1,18
L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,NoFailure,1,16
M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,NoFailure,1,14
L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,NoFailure,1,11
L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,NoFailure,1,9
L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,NoFailure,1,7
M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,NoFailure,1,5
M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,NoFailure,1,2
M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,NoFailure,1,0
L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,NoFailure,1,0
H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,NoFailure,1,0
L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,NoFailure,1,0
L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,NoFailure,1,0
L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,NoFailure,1,0
M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,NoFailure,1,0
H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,NoFailure,1,0
M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,NoFailure,1,0
L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,NoFailure,1,0
M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,NoFailure,1,0
L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,NoFailure,1,0
H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,NoFailure,1,0
M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,NoFailure,1,0
L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,PWF,3,0
L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,NoFailure,1,0
H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,NoFailure,1,0
L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,NoFailure,1,0
L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,NoFailure,1,0
L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,NoFailure,1,0
L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,NoFailure,1,0
L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,NoFailure,1,0
M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,NoFailure,1,0
L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,NoFailure,1,0
L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,NoFailure,1,0
M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,NoFailure,1,0
L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,NoFailure,1,0
M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,NoFailure,1,0
L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,NoFailure,1,0
L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,NoFailure,1,0
M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,NoFailure,1,0
H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,NoFailure,1,0
L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,NoFailure,1,0
L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,PWF,3,0
M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,NoFailure,1,0
L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,NoFailure,1,0
L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,NoFailure,1,0
L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,NoFailure,1,0
L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,NoFailure,1,0
L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,NoFailure,1,0
L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,NoFailure,1,0
L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,TWF,5,0
L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,NoFailure,1,100
L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,NoFailure,1,98
H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,NoFailure,1,96
L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,NoFailure,1,91
L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,NoFailure,1,89
L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,NoFailure,1,87
L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,NoFailure,1,85
M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,NoFailure,1,83
H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,NoFailure,1,80
L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,NoFailure,1,75
M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,NoFailure,1,73
M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,NoFailure,1,70
L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,NoFailure,1,67
L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,NoFailure,1,65
M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,NoFailure,1,63
L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,NoFailure,1,60
L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,NoFailure,1,58
M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,NoFailure,1,56
M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,NoFailure,1,53
M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,NoFailure,1,50
L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,NoFailure,1,47
L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,NoFailure,1,45
L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,NoFailure,1,43
L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,NoFailure,1,41
L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,NoFailure,1,39
M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,NoFailure,1,37
L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,NoFailure,1,34
L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,NoFailure,1,32
L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,NoFailure,1,30
M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,NoFailure,1,28
H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,NoFailure,1,25
L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,NoFailure,1,20
L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,NoFailure,1,18
H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,NoFailure,1,16
M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,NoFailure,1,11
M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,NoFailure,1,8
L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,NoFailure,1,5
L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,NoFailure,1,3
L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,NoFailure,1,1
L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,NoFailure,1,0
M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,NoFailure,1,0
L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,NoFailure,1,0
L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,NoFailure,1,0
L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,NoFailure,1,0
L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,NoFailure,1,0
L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,NoFailure,1,0
L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,NoFailure,1,0
L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,NoFailure,1,0
L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,NoFailure,1,0
L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,NoFailure,1,0
L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,NoFailure,1,0
L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,NoFailure,1,0
L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,NoFailure,1,0
L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,NoFailure,1,0
M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,NoFailure,1,0
M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,NoFailure,1,0
L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,NoFailure,1,0
M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,NoFailure,1,0
H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,NoFailure,1,0
L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,NoFailure,1,0
H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,NoFailure,1,0
L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,NoFailure,1,0
L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,NoFailure,1,0
L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,NoFailure,1,0
M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,NoFailure,1,0
H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,NoFailure,1,0
M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,NoFailure,1,0
L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,NoFailure,1,0
H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,NoFailure,1,0
L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,NoFailure,1,0
M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,NoFailure,1,0
L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,NoFailure,1,0
L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,NoFailure,1,0
M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,NoFailure,1,0
M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,NoFailure,1,0
L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,NoFailure,1,0
L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,NoFailure,1,0
H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,NoFailure,1,0
M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,NoFailure,1,0
H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,NoFailure,1,0
M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,NoFailure,1,0
L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,NoFailure,1,0
L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,OSF,2,0
L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,OSF,2,0
L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,NoFailure,1,100
M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,NoFailure,1,98
M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,NoFailure,1,95
L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,NoFailure,1,92
H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,NoFailure,1,90
H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,NoFailure,1,85
L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,PWF,3,80
L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,NoFailure,1,78
M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,NoFailure,1,76
L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,NoFailure,1,73
M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,NoFailure,1,71
M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,NoFailure,1,68
L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,NoFailure,1,65
L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,NoFailure,1,63
L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,NoFailure,1,61
L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,NoFailure,1,59
L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,NoFailure,1,57
L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,NoFailure,1,55
L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,NoFailure,1,53
H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,NoFailure,1,51
M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,NoFailure,1,46
L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,NoFailure,1,43
L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,NoFailure,1,41
L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,NoFailure,1,39
L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,NoFailure,1,37
L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,NoFailure,1,35
L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,NoFailure,1,33
M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,NoFailure,1,31
L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,NoFailure,1,28
L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,NoFailure,1,26
H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,NoFailure,1,24
H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,NoFailure,1,19
M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,PWF,3,14
L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,NoFailure,1,11
H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,NoFailure,1,9
M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,NoFailure,1,4
L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,NoFailure,1,1
L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,NoFailure,1,0
L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,NoFailure,1,0
L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,NoFailure,1,0
M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,NoFailure,1,0
L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,NoFailure,1,0
L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,NoFailure,1,0
M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,NoFailure,1,0
L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,NoFailure,1,0
M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,PWF,3,0
L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,NoFailure,1,0
L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,NoFailure,1,0
L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,NoFailure,1,0
L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,NoFailure,1,0
H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,NoFailure,1,0
L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,NoFailure,1,0
M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,NoFailure,1,0
L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,NoFailure,1,0
L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,NoFailure,1,0
L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,NoFailure,1,0
L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,NoFailure,1,0
M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,NoFailure,1,0
L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,NoFailure,1,0
H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,NoFailure,1,0
L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,NoFailure,1,0
L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,NoFailure,1,0
L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,NoFailure,1,0
L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,NoFailure,1,0
L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,NoFailure,1,0
L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,NoFailure,1,0
M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,NoFailure,1,0
L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,NoFailure,1,0
L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,NoFailure,1,0
L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,NoFailure,1,0
L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,NoFailure,1,0
L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,NoFailure,1,0
L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,NoFailure,1,0
M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,NoFailure,1,0
L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,NoFailure,1,0
M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,NoFailure,1,0
L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,NoFailure,1,0
L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,NoFailure,1,0
M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,NoFailure,1,0
L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,NoFailure,1,0
L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,OSF,2,0
L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,NoFailure,1,0
M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,NoFailure,1,0
M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,NoFailure,1,0
L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,NoFailure,1,0
L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,NoFailure,1,0
L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,OSF,2,0
L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,OSF,2,0
L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,NoFailure,1,100
M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,NoFailure,1,98
L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,NoFailure,1,95
L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,NoFailure,1,93
L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,NoFailure,1,91
L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,NoFailure,1,89
L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,NoFailure,1,87
L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,NoFailure,1,85
L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,NoFailure,1,83
M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,PWF,3,81
M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,NoFailure,1,78
L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,NoFailure,1,75
M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,NoFailure,1,73
M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,NoFailure,1,70
L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,NoFailure,1,67
L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,NoFailure,1,65
H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,NoFailure,1,63
L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,NoFailure,1,58
H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,NoFailure,1,56
L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,NoFailure,1,51
H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,NoFailure,1,49
M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,NoFailure,1,44
L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,NoFailure,1,41
L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,NoFailure,1,39
L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,NoFailure,1,37
L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,NoFailure,1,35
M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,NoFailure,1,33
H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,NoFailure,1,30
